"","pid","condition","gender","age_cat","education","trial","WOA","Trust"
"1","S001","low","female","18-34","none",1,0.455566023269111,5
"2","S001","low","female","18-34","none",2,0.444905301841842,6
"3","S001","low","female","18-34","none",3,0.495832234937508,5
"4","S001","low","female","18-34","none",4,1.05096139684811,5
"5","S001","low","female","18-34","none",5,0.812123556531136,5
"6","S001","low","female","18-34","none",6,0.197818703342572,5
"7","S001","low","female","18-34","none",7,0.638553871221807,4
"8","S001","low","female","18-34","none",8,0.872724172595294,5
"9","S001","low","female","18-34","none",9,0.325745995523158,4
"10","S001","low","female","18-34","none",10,0.696458370445777,3
"11","S002","low","female","18-34","highschool",1,0.374975390936712,4
"12","S002","low","female","18-34","highschool",2,0.584693950313209,4
"13","S002","low","female","18-34","highschool",3,0.611237526201262,4
"14","S002","low","female","18-34","highschool",4,0.31271029913661,3
"15","S002","low","female","18-34","highschool",5,0.348538671881933,6
"16","S002","low","female","18-34","highschool",6,0.568701164078523,6
"17","S002","low","female","18-34","highschool",7,0.598068396858204,6
"18","S002","low","female","18-34","highschool",8,0.636153068644804,3
"19","S002","low","female","18-34","highschool",9,0.567819919787114,6
"20","S002","low","female","18-34","highschool",10,0.263789971426512,5
"21","S003","low","female","50-65","none",1,0.626165414199392,4
"22","S003","low","female","50-65","none",2,0.678741409158579,4
"23","S003","low","female","50-65","none",3,0.411463797411495,4
"24","S003","low","female","50-65","none",4,0.851259305866687,4
"25","S003","low","female","50-65","none",5,0.534442174109653,4
"26","S003","low","female","50-65","none",6,0.804488324257274,4
"27","S003","low","female","50-65","none",7,0.702073208083671,3
"28","S003","low","female","50-65","none",8,0.547299673826986,4
"29","S003","low","female","50-65","none",9,0.448424733748758,5
"30","S003","low","female","50-65","none",10,0.752656605608742,3
"31","S004","low","female","35-49","none",1,0.293449867577241,6
"32","S004","low","female","35-49","none",2,0.468836759215795,6
"33","S004","low","female","35-49","none",3,0.49720307737636,4
"34","S004","low","female","35-49","none",4,0.49124507089224,5
"35","S004","low","female","35-49","none",5,0.257908553664379,5
"36","S004","low","female","35-49","none",6,0.552107660524325,5
"37","S004","low","female","35-49","none",7,0.331029424866426,5
"38","S004","low","female","35-49","none",8,0.316286612131341,4
"39","S004","low","female","35-49","none",9,0.766430408756596,6
"40","S004","low","female","35-49","none",10,0.689293443314808,5
"41","S005","low","female","50-65","highschool",1,0.326330053109236,5
"42","S005","low","female","50-65","highschool",2,0.746200037966627,3
"43","S005","low","female","50-65","highschool",3,0.178177520368392,4
"44","S005","low","female","50-65","highschool",4,0.833780262470886,3
"45","S005","low","female","50-65","highschool",5,0.258843944822878,4
"46","S005","low","female","50-65","highschool",6,0.227107038900374,5
"47","S005","low","female","50-65","highschool",7,0.376267297850292,5
"48","S005","low","female","50-65","highschool",8,0.471255061884024,4
"49","S005","low","female","50-65","highschool",9,0.374542221401409,5
"50","S005","low","female","50-65","highschool",10,0.378679771272439,4
"51","S006","low","female","18-34","college",1,0.350092926922643,5
"52","S006","low","female","18-34","college",2,0.233326299696882,3
"53","S006","low","female","18-34","college",3,0.354092499871083,3
"54","S006","low","female","18-34","college",4,0.647605890901101,2
"55","S006","low","female","18-34","college",5,0.609081165967997,4
"56","S006","low","female","18-34","college",6,0.439674988188251,5
"57","S006","low","female","18-34","college",7,0.477181585317499,3
"58","S006","low","female","18-34","college",8,0.485279926840187,5
"59","S006","low","female","18-34","college",9,0.506898368457378,5
"60","S006","low","female","18-34","college",10,0.902431064895413,4
"61","S007","low","female","18-34","none",1,0.452284891215316,5
"62","S007","low","female","18-34","none",2,0.529416725261675,5
"63","S007","low","female","18-34","none",3,0.543751190667486,6
"64","S007","low","female","18-34","none",4,0.507233610694335,5
"65","S007","low","female","18-34","none",5,0.534155944133992,6
"66","S007","low","female","18-34","none",6,0.806895972166845,4
"67","S007","low","female","18-34","none",7,0.461554021859155,5
"68","S007","low","female","18-34","none",8,0.576656180010684,4
"69","S007","low","female","18-34","none",9,0.560990083157986,3
"70","S007","low","female","18-34","none",10,0.340296075804715,3
"71","S008","low","female","18-34","highschool",1,-0.0740815730492419,6
"72","S008","low","female","18-34","highschool",2,0.775673033253591,5
"73","S008","low","female","18-34","highschool",3,0.734461969318089,3
"74","S008","low","female","18-34","highschool",4,0.134798038038003,5
"75","S008","low","female","18-34","highschool",5,0.301830392618443,4
"76","S008","low","female","18-34","highschool",6,0.426924689470224,3
"77","S008","low","female","18-34","highschool",7,0.387605304180332,4
"78","S008","low","female","18-34","highschool",8,0.502676110299336,5
"79","S008","low","female","18-34","highschool",9,0.942480838556418,6
"80","S008","low","female","18-34","highschool",10,0.272530968272826,4
"81","S009","low","female","35-49","highschool",1,0.747734649603833,5
"82","S009","low","female","35-49","highschool",2,0.688242869172877,5
"83","S009","low","female","35-49","highschool",3,0.569776961216365,4
"84","S009","low","female","35-49","highschool",4,0.629777724017037,4
"85","S009","low","female","35-49","highschool",5,0.365211132633573,5
"86","S009","low","female","35-49","highschool",6,0.563226219776748,6
"87","S009","low","female","35-49","highschool",7,0.543563889056483,5
"88","S009","low","female","35-49","highschool",8,0.461751884934548,4
"89","S009","low","female","35-49","highschool",9,0.404493626823938,4
"90","S009","low","female","35-49","highschool",10,0.500061702278819,4
"91","S010","low","female","50-65","college",1,0.383691263946173,4
"92","S010","low","female","50-65","college",2,0.885014149187015,3
"93","S010","low","female","50-65","college",3,0.578683878126987,4
"94","S010","low","female","50-65","college",4,0.540738759235217,4
"95","S010","low","female","50-65","college",5,0.530339170191566,5
"96","S010","low","female","50-65","college",6,0.29537440343674,4
"97","S010","low","female","50-65","college",7,0.609063374654147,4
"98","S010","low","female","50-65","college",8,0.554614713596656,3
"99","S010","low","female","50-65","college",9,0.467700171215155,5
"100","S010","low","female","50-65","college",10,0.621998444043033,4
"101","S011","low","female","35-49","highschool",1,0.458895868172178,5
"102","S011","low","female","35-49","highschool",2,0.598513738337169,4
"103","S011","low","female","35-49","highschool",3,0.371167653830843,6
"104","S011","low","female","35-49","highschool",4,0.481761383923359,5
"105","S011","low","female","35-49","highschool",5,0.725879729341884,5
"106","S011","low","female","35-49","highschool",6,0.804534136136961,3
"107","S011","low","female","35-49","highschool",7,0.247277875061514,5
"108","S011","low","female","35-49","highschool",8,0.46667383440996,5
"109","S011","low","female","35-49","highschool",9,0.376763274309964,6
"110","S011","low","female","35-49","highschool",10,0.70342752378675,6
"111","S012","low","female","35-49","highschool",1,0.312320957039569,5
"112","S012","low","female","35-49","highschool",2,0.317789474933894,5
"113","S012","low","female","35-49","highschool",3,0.323312739321425,3
"114","S012","low","female","35-49","highschool",4,0.327406394169444,4
"115","S012","low","female","35-49","highschool",5,0.565626920050163,3
"116","S012","low","female","35-49","highschool",6,0.814720023108862,6
"117","S012","low","female","35-49","highschool",7,0.676312910606996,5
"118","S012","low","female","35-49","highschool",8,0.544978535529091,4
"119","S012","low","female","35-49","highschool",9,0.320085593761141,4
"120","S012","low","female","35-49","highschool",10,0.623930438506891,4
"121","S013","low","female","35-49","college",1,0.545566695081859,5
"122","S013","low","female","35-49","college",2,0.24585158960068,5
"123","S013","low","female","35-49","college",3,0.647982846228466,5
"124","S013","low","female","35-49","college",4,0.640572037676615,4
"125","S013","low","female","35-49","college",5,0.346370305573435,6
"126","S013","low","female","35-49","college",6,0.522443389380626,6
"127","S013","low","female","35-49","college",7,0.331757101604943,5
"128","S013","low","female","35-49","college",8,0.27088436803153,5
"129","S013","low","female","35-49","college",9,0.615981755572642,3
"130","S013","low","female","35-49","college",10,0.139957359054341,6
"131","S014","low","female","35-49","college",1,0.511873795993399,5
"132","S014","low","female","35-49","college",2,0.52247044674556,4
